AP_XC_4_Team_Race,ACC,SEC,Pac-12,Big 12,Big Ten,FBS Indep.,American,CUSA,Mountain West,Sun Belt,MVFC,MAC
Preseason,69.0,29.0,36.0,62.0,49.0,,,,,,,
Week 2,70.5,22.0,41.0,60.0,52.0,,,,,,,
Week 3,62.0,21.0,38.0,59.0,79.0,,,,,,,
Week 4,76.5,22.0,45.0,56.0,77.0,,,,,,,
Week 5,88.0,24.0,44.0,60.0,71.0,,,,,,,
Week 6,95.0,25.0,40.0,55.0,66.0,,,,,,,
Week 7,78.0,16.0,60.0,41.0,78.0,,,,,,,
Week 8,87.0,17.0,62.0,41.0,69.5,,,,,,,
Week 9,80.0,13.0,54.0,50.0,65.0,,,,,,,
Week 10,78.0,15.0,52.0,52.0,66.0,,,,,,,
Week 11,72.0,20.0,54.0,41.0,60.0,,,,,,,
Week 12,63.0,24.0,41.0,50.0,53.0,,,,,,,
Week 13,70.0,23.0,42.0,46.0,52.0,,,,,,,
Week 14,64.0,29.0,37.0,42.0,53.0,,,,,,,
Week 15,54.0,38.0,44.0,36.0,49.0,,,,,,,
Week 16,50.0,31.0,44.0,48.0,54.0,,,,,,,
Final,52.5,38.0,43.0,63.5,47.5,,,,115.0,,,
